,question,answer,qtype
992,What does therapy improve?,therapy improve ADL performance.,1
993,What does psychotherapy treat?,psychotherapy treat Depression.,1
994,What does behavioral activation (BA) increase?,behavioral activation (BA) increase engagement in adaptive activities.,1
995,What does actions remove?,actions remove unconscious bias.,1
996,What does viral disease result?,viral disease result ill effects on humans.,1
997,What does Spatio-temporal based fine-tuned deep learning model detect?,Spatio-temporal based fine-tuned deep learning model detect Corv disease.,1
998,What does chest X-ray images identify?,chest X-ray images identify CorV suspected people.,1
999,What does deep learning neural network algorithms identification?,deep learning neural network algorithms identification CorV patients.,1
1000,What does meteorological factors influence?,meteorological factors influence heart diseases.,1
1001,What does precipitations relate?,precipitations relate fatal and nonfatal cardiovascular diseases incidence.,1
1002,What does gastrointestinal endoscopy impact?,gastrointestinal endoscopy impact COVID-19 infection.,1
1003,What does monoclonal antibodies (MAbs) against?,monoclonal antibodies (MAbs) against these cells.,1
1004,What does multiple glycoproteins involve?,multiple glycoproteins involve infection of PAMs.,1
1005,What does PRRSV replicate?,PRRSV replicate testicular germ cells.,1
1006,What does non-porcine cells support?,non-porcine cells support PRRSV replication.,1
1007,What does MALDI TOF-MS analytical technique analysis?,MALDI TOF-MS analytical technique analysis viral pathogens.,1
1008,What does public health sector advance?,public health sector advance environmental public health.,1
1009,What does remote monitoring (RM) benefit?,remote monitoring (RM) benefit Automated peritoneal dialysis (APD).,1
1010,What does IgG ELISA against?,IgG ELISA against full length spike protein.,1
1011,What does Wildfires release?,Wildfires release particulate matter (PM).,1
1012,What does wildfire smoke exposure association?,wildfire smoke exposure association incidence of COVID-19 in NSW.,1
1013,What does average PM 10 level association?,average PM 10 level association COVID-19 incidence.,1
1014,What does wildfire smoke exposures associate?,wildfire smoke exposures associate COVID-19 in NSW.,1
1015,What does high standard air monitoring stations for?,high standard air monitoring stations for PM 10.,1
1016,What does mellitus associate?,mellitus associate worsening clinical status in COVID-19 patients.,1
1017,What does diabetes effect?,diabetes effect recovery of COVID-19 patients.,1
1018,What does lockdown policy impact?,lockdown policy impact glycemic control of diabetic patients.,1
1019,What does childhood experiences affect?,childhood experiences affect FWB in adults.,1
1020,What does FS agents effect?,FS agents effect FWB in adults.,1
1021,What does parents effect?,parents effect FWB in adults.,1
1022,What does financial coping behaviors mediate?,financial coping behaviors mediate FS agents.,1
1023,What does FS agent peers impact?,FS agent peers impact adult FWBs.,1
1024,What does whole-genome sequencing provide?,whole-genome sequencing provide transmission pathways in infectious spread.,1
1025,What does peer relationships adopt?,peer relationships adopt positive health behaviors.,1
1026,What does peer relationships maintain?,peer relationships maintain positive health behaviors.,1
1027,What does peer-led strategies improve?,peer-led strategies improve PA levels of adolescents.,1
1028,What does adapted scale assess?,adapted scale assess quality.,1
1029,What does leadership promote?,leadership promote adolescent PA.,1
1030,What does novel evaluation approaches and/or regulations require?,novel evaluation approaches and/or regulations require medical product development.,1
1031,What does citation network analysis tool?,citation network analysis tool horizon scanning in the field of immunology.,1
1032,What does text mining of scientific papers tool?,text mining of scientific papers tool horizon scanning in the field of immunology.,1
1033,What does MiSeq explore?,MiSeq explore methylation of CpG islands in the DDX58 and IFIH1 promoter regions.,1
1034,What does RT-qPCR detect?,RT-qPCR detect IFIH1 expression.,1
1035,What does artesunate use?,artesunate use cancer therapy.,1
1036,What does Gini index monitor?,Gini index monitor equality aspects of the pandemic.,1
1037,What does heterogeneous reporting systems result?,heterogeneous reporting systems result Inequality.,1
1038,What does immune cells carry?,immune cells carry immune responses.,1
1039,What does TM/DX combinatorial treatments regulate?,TM/DX combinatorial treatments regulate T cell immunity.,1
1040,What does crystal violet staining by?,crystal violet staining by biofilm-forming ability of the isolates.,1
1041,What does MDR association?,MDR association enhanced biofilm formation.,1
1042,What does antibiotics lead?,antibiotics lead cost reductions.,1
1043,What does area under the receiver operator characteristic curve (AUC) determine?,area under the receiver operator characteristic curve (AUC) determine performance of each score.,1
1044,What does UVA score assist?,UVA score assist triage decisions and clinical interventions.,1
1045,What does SAAS protect?,SAAS protect myocardial injury.,1
1046,What does SAAS improve?,SAAS improve cardiac function.,1
1047,What does RNAi/Dicer/Ago system degrade?,RNAi/Dicer/Ago system degrade RNA viruses.,1
1048,What does CoV-2 degrade?,CoV-2 degrade host transcripts.,1
1049,What does COVID-19 influence?,COVID-19 influence choice of residency/specialty.,1
1050,What does lower educational attainment (EA) associate?,lower educational attainment (EA) associate higher COVID-19 risk.,1
1051,What does lower educational attainment (EA) associate?,lower educational attainment (EA) associate COVID-19 risk.,1
1052,What does R software perform?,R software perform statistical analyses.,1
1053,What does attainment predictor?,attainment predictor susceptibility.,1
1054,What does attainment predictor?,attainment predictor severity of COVID-19 disease.,1
1055,What does internal and external validation data set assess?,internal and external validation data set assess diagnostic nomogram.,1
1056,What does decision curve beneficial?,decision curve beneficial COVID-19 pneumonia patients.,1
1057,What does clinical impact curve beneficial?,clinical impact curve beneficial COVID-19 pneumonia patients.,1
1058,What does nomogram predict?,nomogram predict COVID-19 pneumonia.,1
1059,What does Optometrists measure?,Optometrists measure intraocular pressure (IOP).,1
1060,What does Bi-LSTM structure base?,Bi-LSTM structure base bottleneck features.,1
1061,What does expert judgment perform?,expert judgment perform validation.,1
1062,What does confirmatory factor analysis (CFA) verify?,confirmatory factor analysis (CFA) verify goodness of fit of the analysis found in the EFA.,1
1063,What does Cronbach's Alpha coefficient evaluate?,Cronbach's Alpha coefficient evaluate reliability of the instrument.,1
1064,What does chemoradiotherapy increase?,chemoradiotherapy increase overall survival.,1
1065,What does RNA viruses contain?,RNA viruses contain DVGs in clinical specimens.,1
1066,What does presence of DVGs associate?,presence of DVGs associate specimens containing higher viral loads.,1
1067,What does DVGs associate?,DVGs associate specimens containing higher viral loads.,1
1068,What does technology role?,technology role postgraduate radiology education and practice.,1
1069,What does Technology role?,Technology role postgraduate radiology education.,1
1070,What does cinnamon have?,cinnamon have therapeutic effects.,1
